x,y,z,yaw,velocity,change_flag
371.0305,1023.5476,-12.8564,2.9318,5.1835,0
370.9076,1023.5801,-12.8764,2.9301,4.6285,0
370.7833,1023.6081,-12.8700,2.9275,4.5871,0
370.6606,1023.6313,-12.8812,2.9249,4.5182,0
370.5345,1023.6548,-12.8781,2.9231,4.6184,0
370.4135,1023.6866,-12.8871,2.9215,4.5140,0
370.2803,1023.7104,-12.8751,2.9184,4.8893,0
370.1453,1023.7394,-12.8725,2.9125,4.9786,0
370.0235,1023.7664,-12.8829,2.9050,4.5140,0
369.9014,1023.7927,-12.8815,2.8981,4.4934,0
369.7633,1023.8290,-12.8874,2.8901,5.1480,0
369.6234,1023.8536,-12.8916,2.8804,5.1077,0
369.4845,1023.8823,-12.9085,2.8710,5.1498,0
369.3611,1023.9139,-12.9150,2.8620,4.5939,0
369.2367,1023.9360,-12.9179,2.8528,4.5525,0
369.1118,1023.9758,-12.9126,2.8442,4.7200,0
368.9756,1024.0288,-12.9290,2.8375,5.2981,0
368.8383,1024.0739,-12.9348,2.8316,5.2125,0
368.7082,1024.1023,-12.9409,2.8248,4.7938,0
368.5915,1024.1311,-12.9358,2.8185,4.3277,0
368.4957,1024.1653,-12.9505,2.8159,3.6982,0
368.3661,1024.1963,-12.9597,2.8164,4.8209,0
368.2495,1024.2313,-12.9650,2.8193,4.3850,0
368.1341,1024.2732,-12.9648,2.8238,4.4160,0
368.0077,1024.3170,-12.9627,2.8282,4.8122,0
367.8905,1024.3612,-12.9811,2.8333,4.5538,0
367.7612,1024.3971,-12.9746,2.8391,4.8366,0
367.6400,1024.4325,-12.9820,2.8461,4.5490,0
367.5145,1024.4803,-12.9883,2.8528,4.8397,0
367.3876,1024.5281,-12.9892,2.8605,4.8775,0
367.2596,1024.5629,-12.9975,2.8686,4.7794,0
367.1302,1024.5901,-12.9961,2.8749,4.7619,0
367.0065,1024.6138,-13.0042,2.8796,4.5430,0
366.8685,1024.6558,-13.0045,2.8847,5.1990,0
